date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:17:44	32076/32076	---MCZ	200	added ('OK')	font/ttf	date:Mon,%2027%20Nov%202017%2009:33:16%20GMT	http://zeus2k.pw/instagram/inc/themes/default/assets/fonts/HILVCCBoing-SemiboldItalic.ttf	C:/My%20Web%20Sites/Zeus/zeus2k.pw/instagram/inc/themes/default/assets/fonts/HILVCCBoing-SemiboldItalic.ttf	(from http://zeus2k.pw/instagram/inc/themes/default/assets/styles/vendor.css?v=neptun010002040200)
22:17:46	103440/103440	---MCZ	200	added ('OK')	font/ttf	date:Mon,%2027%20Nov%202017%2009:33:32%20GMT	http://zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-BoldItalic.ttf	C:/My%20Web%20Sites/Zeus/zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-BoldItalic.ttf	(from http://zeus2k.pw/instagram/inc/themes/default/assets/styles/vendor.css?v=neptun010002040200)
22:17:49	43924/43924	---M--	200	added ('OK')	font/woff	date:Mon,%2027%20Nov%202017%2009:33:20%20GMT	http://zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-Black.woff	C:/My%20Web%20Sites/Zeus/zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-Black.woff	(from http://zeus2k.pw/instagram/inc/themes/default/assets/styles/vendor.css?v=neptun010002040200)
22:17:52	93892/93892	---MCZ	200	added ('OK')	font/ttf	date:Mon,%2027%20Nov%202017%2009:33:34%20GMT	http://zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-Black.ttf	C:/My%20Web%20Sites/Zeus/zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-Black.ttf	(from http://zeus2k.pw/instagram/inc/themes/default/assets/styles/vendor.css?v=neptun010002040200)
22:17:53	42340/42340	---M--	200	added ('OK')	font/woff	date:Mon,%2027%20Nov%202017%2009:33:04%20GMT	http://zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-Thin.woff	C:/My%20Web%20Sites/Zeus/zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-Thin.woff	(from http://zeus2k.pw/instagram/inc/themes/default/assets/styles/vendor.css?v=neptun010002040200)
22:17:57	97224/97224	---MCZ	200	added ('OK')	font/ttf	date:Mon,%2027%20Nov%202017%2009:33:24%20GMT	http://zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-Thin.ttf	C:/My%20Web%20Sites/Zeus/zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-Thin.ttf	(from http://zeus2k.pw/instagram/inc/themes/default/assets/styles/vendor.css?v=neptun010002040200)
22:18:00	46556/46556	---M--	200	added ('OK')	font/woff	date:Mon,%2027%20Nov%202017%2009:33:14%20GMT	http://zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-ExtralightItalic.woff	C:/My%20Web%20Sites/Zeus/zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-ExtralightItalic.woff	(from http://zeus2k.pw/instagram/inc/themes/default/assets/styles/vendor.css?v=neptun010002040200)
22:18:01	100116/100116	---MCZ	200	added ('OK')	font/ttf	date:Mon,%2027%20Nov%202017%2009:33:22%20GMT	http://zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-ExtralightItalic.ttf	C:/My%20Web%20Sites/Zeus/zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-ExtralightItalic.ttf	(from http://zeus2k.pw/instagram/inc/themes/default/assets/styles/vendor.css?v=neptun010002040200)
22:18:05	47088/47088	---M--	200	added ('OK')	font/woff	date:Mon,%2027%20Nov%202017%2009:33:18%20GMT	http://zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-SuperItalic.woff	C:/My%20Web%20Sites/Zeus/zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-SuperItalic.woff	(from http://zeus2k.pw/instagram/inc/themes/default/assets/styles/vendor.css?v=neptun010002040200)
22:18:08	98840/98840	---MCZ	200	added ('OK')	font/ttf	date:Mon,%2027%20Nov%202017%2009:33:22%20GMT	http://zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-SuperItalic.ttf	C:/My%20Web%20Sites/Zeus/zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-SuperItalic.ttf	(from http://zeus2k.pw/instagram/inc/themes/default/assets/styles/vendor.css?v=neptun010002040200)
22:18:08	45480/45480	---M--	200	added ('OK')	font/woff	date:Mon,%2027%20Nov%202017%2009:33:30%20GMT	http://zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-Extralight_1.woff	C:/My%20Web%20Sites/Zeus/zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-Extralight_1.woff	(from http://zeus2k.pw/instagram/inc/themes/default/assets/styles/vendor.css?v=neptun010002040200)
22:18:12	101616/101616	---MCZ	200	added ('OK')	font/ttf	date:Mon,%2027%20Nov%202017%2009:33:16%20GMT	http://zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-Extralight_1.ttf	C:/My%20Web%20Sites/Zeus/zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-Extralight_1.ttf	(from http://zeus2k.pw/instagram/inc/themes/default/assets/styles/vendor.css?v=neptun010002040200)
22:18:15	47088/47088	---M--	200	added ('OK')	font/woff	date:Mon,%2027%20Nov%202017%2009:33:12%20GMT	http://zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-SuperItalic_1.woff	C:/My%20Web%20Sites/Zeus/zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-SuperItalic_1.woff	(from http://zeus2k.pw/instagram/inc/themes/default/assets/styles/vendor.css?v=neptun010002040200)
22:18:16	98840/98840	---MCZ	200	added ('OK')	font/ttf	date:Mon,%2027%20Nov%202017%2009:33:12%20GMT	http://zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-SuperItalic_1.ttf	C:/My%20Web%20Sites/Zeus/zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-SuperItalic_1.ttf	(from http://zeus2k.pw/instagram/inc/themes/default/assets/styles/vendor.css?v=neptun010002040200)
22:18:20	45628/45628	---M--	200	added ('OK')	font/woff	date:Mon,%2027%20Nov%202017%2009:33:10%20GMT	http://zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-MediumItalic.woff	C:/My%20Web%20Sites/Zeus/zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-MediumItalic.woff	(from http://zeus2k.pw/instagram/inc/themes/default/assets/styles/vendor.css?v=neptun010002040200)
22:18:24	95240/95240	---MCZ	200	added ('OK')	font/ttf	date:Mon,%2027%20Nov%202017%2009:33:32%20GMT	http://zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-MediumItalic.ttf	C:/My%20Web%20Sites/Zeus/zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-MediumItalic.ttf	(from http://zeus2k.pw/instagram/inc/themes/default/assets/styles/vendor.css?v=neptun010002040200)
22:18:24	43924/43924	---M--	200	added ('OK')	font/woff	date:Mon,%2027%20Nov%202017%2009:33:28%20GMT	http://zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-Black_1.woff	C:/My%20Web%20Sites/Zeus/zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-Black_1.woff	(from http://zeus2k.pw/instagram/inc/themes/default/assets/styles/vendor.css?v=neptun010002040200)
22:18:26	14856/14856	---M--	200	added ('OK')	font/woff	date:Mon,%2027%20Nov%202017%2009:33:12%20GMT	http://zeus2k.pw/instagram/inc/themes/default/assets/fonts/HILVCCBoing-Regular.woff	C:/My%20Web%20Sites/Zeus/zeus2k.pw/instagram/inc/themes/default/assets/fonts/HILVCCBoing-Regular.woff	(from http://zeus2k.pw/instagram/inc/themes/default/assets/styles/vendor.css?v=neptun010002040200)
22:18:27	30324/30324	---MCZ	200	added ('OK')	font/ttf	date:Mon,%2027%20Nov%202017%2009:33:18%20GMT	http://zeus2k.pw/instagram/inc/themes/default/assets/fonts/HILVCCBoing-Regular.ttf	C:/My%20Web%20Sites/Zeus/zeus2k.pw/instagram/inc/themes/default/assets/fonts/HILVCCBoing-Regular.ttf	(from http://zeus2k.pw/instagram/inc/themes/default/assets/styles/vendor.css?v=neptun010002040200)
22:18:27	93892/93892	---MCZ	200	added ('OK')	font/ttf	date:Mon,%2027%20Nov%202017%2009:33:34%20GMT	http://zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-Black_1.ttf	C:/My%20Web%20Sites/Zeus/zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-Black_1.ttf	(from http://zeus2k.pw/instagram/inc/themes/default/assets/styles/vendor.css?v=neptun010002040200)
22:18:33	43740/43740	---M--	200	added ('OK')	font/woff	date:Mon,%2027%20Nov%202017%2009:33:20%20GMT	http://zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-Bold.woff	C:/My%20Web%20Sites/Zeus/zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-Bold.woff	(from http://zeus2k.pw/instagram/inc/themes/default/assets/styles/vendor.css?v=neptun010002040200)
22:18:34	40796/40796	---M--	200	added ('OK')	font/woff	date:Mon,%2027%20Nov%202017%2009:33:24%20GMT	http://zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-Regular_1.woff	C:/My%20Web%20Sites/Zeus/zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-Regular_1.woff	(from http://zeus2k.pw/instagram/inc/themes/default/assets/styles/vendor.css?v=neptun010002040200)
22:18:35	101756/101756	---MCZ	200	added ('OK')	font/ttf	date:Mon,%2027%20Nov%202017%2009:33:12%20GMT	http://zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-Bold.ttf	C:/My%20Web%20Sites/Zeus/zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-Bold.ttf	(from http://zeus2k.pw/instagram/inc/themes/default/assets/styles/vendor.css?v=neptun010002040200)
22:18:40	88304/88304	---MCZ	200	added ('OK')	font/ttf	date:Mon,%2027%20Nov%202017%2009:33:14%20GMT	http://zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-Regular_1.ttf	C:/My%20Web%20Sites/Zeus/zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-Regular_1.ttf	(from http://zeus2k.pw/instagram/inc/themes/default/assets/styles/vendor.css?v=neptun010002040200)
22:18:40	42340/42340	---M--	200	added ('OK')	font/woff	date:Mon,%2027%20Nov%202017%2009:33:14%20GMT	http://zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-Thin_1.woff	C:/My%20Web%20Sites/Zeus/zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-Thin_1.woff	(from http://zeus2k.pw/instagram/inc/themes/default/assets/styles/vendor.css?v=neptun010002040200)
22:18:42	97224/97224	---MCZ	200	added ('OK')	font/ttf	date:Mon,%2027%20Nov%202017%2009:33:34%20GMT	http://zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-Thin_1.ttf	C:/My%20Web%20Sites/Zeus/zeus2k.pw/instagram/inc/themes/default/assets/fonts/GraphikWeb-Thin_1.ttf	(from http://zeus2k.pw/instagram/inc/themes/default/assets/styles/vendor.css?v=neptun010002040200)
